pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.946241,0.032325,0.045197,-0.318655,0.903240,-0.156966,-0.215828,-0.336062,0.969732,-0.164697,0.049460,-0.173346,0.976600,-0.077467,0.073730,-0.186590,0.931877,0.169003,-0.011270,-0.320806,0.929994,0.220482,0.169338,-0.240466,0.941001,0.199420,0.089171,-0.258454,0.986830,0.010783,0.025250,-0.159411,0.966957,0.133210,0.177064,-0.126087,0.587278,0.301311,0.698513,-0.276397,0.598055,0.240241,0.744519,-0.174085,0.976068,-0.160439,-0.008403,-0.146558,0.819881,-0.243306,0.501290,0.131549,0.820942,-0.305614,0.464030,0.131645
0.946445,0.026015,0.044171,-0.318769,0.896496,-0.164756,-0.240943,-0.333312,0.967879,-0.179116,0.055050,-0.167620,0.972592,-0.090796,0.102990,-0.187653,0.934111,0.158620,-0.031999,-0.318202,0.930208,0.216921,0.179514,-0.235444,0.954622,0.130097,0.075843,-0.256943,0.985730,0.021794,0.030137,-0.164177,0.967997,0.126174,0.175008,-0.128194,0.588290,0.300119,0.693164,-0.288734,0.599168,0.237611,0.739555,-0.193899,0.975029,-0.163173,-0.010752,-0.150259,0.828754,-0.238749,0.491872,0.119283,0.831388,-0.303872,0.451021,0.114179
0.951018,0.017913,0.040094,-0.305999,0.893353,-0.175755,-0.262049,-0.319939,0.965644,-0.191694,0.048090,-0.168738,0.962567,-0.121834,0.141885,-0.196186,0.940067,0.149415,-0.039243,-0.303989,0.933662,0.207507,0.177313,-0.231895,0.960758,0.089026,0.058766,-0.256058,0.985266,0.032083,0.036262,-0.164031,0.969849,0.121426,0.167671,-0.128588,0.590289,0.303229,0.684811,-0.301073,0.601631,0.238610,0.731431,-0.214744,0.974858,-0.165073,-0.008405,-0.149439,0.835609,-0.232394,0.486026,0.107376,0.840720,-0.300031,0.440508,0.095515
0.955753,0.009520,0.035362,-0.291882,0.889983,-0.188879,-0.279941,-0.306411,0.962477,-0.200020,0.034156,-0.180175,0.946941,-0.162626,0.180678,-0.210262,0.946098,0.140048,-0.045077,-0.288537,0.937128,0.197585,0.174223,-0.228906,0.964347,0.053204,0.042015,-0.255812,0.985004,0.041693,0.041938,-0.162079,0.971732,0.117672,0.159576,-0.128164,0.593418,0.306421,0.676088,-0.311234,0.605585,0.240124,0.722072,-0.232851,0.974997,-0.166518,-0.004577,-0.147077,0.841501,-0.225686,0.481439,0.095706,0.848620,-0.295880,0.431585,0.077678
0.960961,0.000552,0.029333,-0.275124,0.886725,-0.207020,-0.291591,-0.292978,0.956560,-0.200493,0.005804,-0.211570,0.920841,-0.220799,0.221582,-0.232812,0.952577,0.130157,-0.048068,-0.270823,0.940721,0.186369,0.169492,-0.227120,0.965953,0.027695,0.026290,-0.255886,0.985240,0.049845,0.047042,-0.156862,0.973736,0.116016,0.150107,-0.125883,0.598887,0.309567,0.667082,-0.317024,0.612982,0.242416,0.710813,-0.245424,0.975689,-0.167197,0.002580,-0.141667,0.845502,-0.218052,0.480028,0.084569,0.854129,-0.291051,0.426536,0.061804
0.965383,-0.010811,0.022903,-0.259603,0.888541,-0.210059,-0.301462,-0.274755,0.957985,-0.209342,-0.003313,-0.196033,0.907598,-0.260500,0.250742,-0.213386,0.958362,0.119517,-0.050122,-0.254452,0.943397,0.175202,0.166010,-0.227481,0.966202,0.010398,0.013062,-0.257244,0.985671,0.056666,0.050483,-0.150639,0.975458,0.116645,0.140656,-0.122847,0.605150,0.313071,0.658521,-0.319577,0.624573,0.242194,0.700631,-0.245698,0.976580,-0.166791,0.011183,-0.135453,0.847377,-0.210628,0.481522,0.075663,0.856233,-0.286402,0.427089,0.049338
0.969195,-0.023368,0.016270,-0.244644,0.892888,-0.205701,-0.309829,-0.253858,0.962000,-0.223226,-0.002035,-0.157235,0.898960,-0.294784,0.272271,-0.175617,0.963625,0.108413,-0.051670,-0.238753,0.945583,0.163968,0.163000,-0.228950,0.965855,-0.002892,0.000934,-0.259064,0.986195,0.062807,0.053105,-0.143715,0.976997,0.118471,0.131228,-0.119251,0.611766,0.316716,0.650240,-0.320345,0.638190,0.240518,0.690968,-0.239643,0.977518,-0.165916,0.020449,-0.128503,0.848060,-0.203640,0.484454,0.068035,0.856510,-0.282165,0.430428,0.038806
0.972694,-0.022755,0.014787,-0.230501,0.897205,-0.199827,-0.311274,-0.241251,0.964323,-0.215144,-0.016266,-0.153394,0.908500,-0.292019,0.245217,-0.170942,0.968497,0.091415,-0.063807,-0.222677,0.945637,0.153348,0.170694,-0.230473,0.965884,-0.004520,-0.000663,-0.258936,0.986630,0.066756,0.055952,-0.137747,0.978046,0.122469,0.120697,-0.117730,0.617785,0.323117,0.641427,-0.320170,0.649227,0.247224,0.681026,-0.231492,0.978654,-0.162672,0.028857,-0.122235,0.844340,-0.198463,0.493151,0.067114,0.853942,-0.275919,0.439806,0.034961
0.975745,-0.022238,0.012585,-0.217414,0.901438,-0.188289,-0.316657,-0.227343,0.968091,-0.204196,-0.019437,-0.143969,0.918961,-0.290277,0.214863,-0.158380,0.972333,0.075063,-0.073916,-0.208494,0.945737,0.142754,0.176109,-0.232784,0.965822,-0.004797,-0.002110,-0.259153,0.987081,0.069988,0.057952,-0.131960,0.978930,0.126801,0.110015,-0.116255,0.623284,0.330200,0.632253,-0.320533,0.658351,0.258486,0.670310,-0.224597,0.979774,-0.158710,0.036590,-0.116256,0.838695,-0.193982,0.504343,0.067819,0.850391,-0.268282,0.451467,0.032207
0.978160,-0.021923,0.008950,-0.206499,0.905342,-0.165252,-0.329647,-0.210668,0.974344,-0.188910,-0.000657,-0.122339,0.931359,-0.290371,0.177379,-0.129585,0.975250,0.059535,-0.079247,-0.197646,0.946293,0.130823,0.178443,-0.235741,0.965859,-0.003594,-0.001958,-0.259036,0.987637,0.071822,0.058202,-0.126597,0.979630,0.131698,0.098965,-0.114829,0.627980,0.338532,0.622365,-0.322024,0.663962,0.278955,0.657925,-0.220169,0.980989,-0.153213,0.042973,-0.111082,0.829292,-0.190663,0.520360,0.071747,0.844988,-0.257668,0.467564,0.031407
